date,beePop,state
1984,130,Georgia
1984,8,Hawaii
1984,104,Idaho
1984,37,Illinois
1984,52,Indiana
1984,64,Iowa
1984,43,Kansas
1984,34,Kentucky
1984,36,Louisiana
1984,8,Maine
1984,12,Maryland
1984,11,Massachusetts
1984,89,Michigan
1984,163,Minnesota
1984,32,Mississippi
1984,79,Missouri
1984,109,Montana
1984,111,Nebraska
1984,11,Nevada
1984,3,New Hampshire
1984,27,New Jersey
1984,16,New Mexico
1984,67,New York
1984,238,North Carolina
1984,179,North Dakota
1984,72,Ohio
1984,32,Oklahoma
1984,59,Oregon
1984,67,Pennsylvania
1984,1,Rhode Island
1984,34,South Carolina
1984,191,South Dakota
1984,93,Tennessee
1984,154,Texas
1984,40,Utah
1984,8,Vermont
1984,55,Virginia
1984,81,Washington
1984,76,West Virginia
1984,71,Wisconsin
1984,42,Wyoming
1985,43,Alabama
1985,-1,Alaska
1985,73,Arizona
1985,24,Arkansas
1985,513,California
1985,41,Colorado
1985,4,Connecticut
1985,2,Delaware
1985,313,Florida
1985,125,Georgia
1985,8,Hawaii
1985,103,Idaho
1985,34,Illinois
1985,43,Indiana
1985,56,Iowa
1985,45,Kansas
1985,28,Kentucky
1985,36,Louisiana
1985,9,Maine
1985,10,Maryland
1985,10,Massachusetts
1985,86,Michigan
1985,154,Minnesota
1985,29,Mississippi
1985,63,Missouri
1985,109,Montana
1985,107,Nebraska
1985,10,Nevada
1985,2,New Hampshire
1985,23,New Jersey
1985,17,New Mexico
1985,50,New York
1985,256,North Carolina
1985,150,North Dakota
1985,68,Ohio
1985,26,Oklahoma
1985,59,Oregon
1985,62,Pennsylvania
1985,1,Rhode Island
1985,27,South Carolina
1985,194,South Dakota
1985,74,Tennessee
1985,141,Texas
1985,39,Utah
1985,8,Vermont
1985,46,Virginia
1985,79,Washington
1985,79,West Virginia
1985,53,Wisconsin
1985,41,Wyoming
1986,42,Alabama
1986,-1,Alaska
1986,75,Arizona
1986,23,Arkansas
1986,517,California
1986,41,Colorado
1986,3,Connecticut
1986,2,Delaware
1986,301,Florida
1986,120,Georgia
1986,9,Hawaii
1986,101,Idaho
1986,32,Illinois
1986,35,Indiana
1986,48,Iowa
1986,46,Kansas
1986,22,Kentucky
1986,35,Louisiana
1986,9,Maine
1986,9,Maryland
1986,10,Massachusetts
1986,83,Michigan
1986,145,Minnesota
1986,26,Mississippi
1986,46,Missouri
1986,110,Montana
1986,104,Nebraska
1986,10,Nevada
1986,2,New Hampshire
1986,20,New Jersey
1986,18,New Mexico
1986,34,New York
1986,273,North Carolina
1986,121,North Dakota
1986,63,Ohio
1986,21,Oklahoma
1986,59,Oregon
1986,56,Pennsylvania
1986,1,Rhode Island
1986,21,South Carolina
1986,198,South Dakota
1986,55,Tennessee
1986,129,Texas
1986,37,Utah
1986,7,Vermont
1986,38,Virginia
1986,77,Washington
1986,82,West Virginia
1986,35,Wisconsin
1986,40,Wyoming
1987,41,Alabama
1987,77,Arizona
1987,21,Arkansas
1987,520,California
1987,41,Colorado
1987,3,Connecticut
1987,1,Delaware
1987,290,Florida
1987,115,Georgia
1987,9,Hawaii
1987,100,Idaho
1987,30,Illinois
1987,27,Indiana
1987,40,Iowa
1987,47,Kansas
1987,15,Kentucky
1987,35,Louisiana
1987,9,Maine
1987,8,Maryland
1987,10,Massachusetts
1987,80,Michigan
1987,136,Minnesota
1987,23,Mississippi
1987,30,Missouri
1987,110,Montana
1987,100,Nebraska
1987,9,Nevada
1987,1,New Hampshire
1987,16,New Jersey
1987,19,New Mexico
1987,18,New York
1987,290,North Carolina
1987,92,North Dakota
1987,59,Ohio
1987,15,Oklahoma
1987,59,Oregon
1987,50,Pennsylvania
1987,1,Rhode Island
1987,15,South Carolina
1987,201,South Dakota
1987,36,Tennessee
1987,117,Texas
1987,35,Utah
1987,7,Vermont
1987,30,Virginia
1987,75,Washington
1987,85,West Virginia
1987,17,Wisconsin
1987,40,Wyoming
1988,42,Alabama
1988,73,Arizona
1988,35,Arkansas
1988,520,California
1988,48,Colorado
1988,2,Connecticut
1988,1,Delaware
1988,240,Florida
1988,115,Georgia
1988,9,Hawaii
1988,112,Idaho
1988,28,Illinois
1988,29,Indiana
1988,49,Iowa
1988,42,Kansas
1988,12,Kentucky
1988,38,Louisiana
1988,14,Maine
1988,7,Maryland
1988,15,Massachusetts
1988,83,Michigan
1988,150,Minnesota
1988,21,Mississippi
1988,30,Missouri
1988,105,Montana
1988,113,Nebraska
1988,9,Nevada
1988,1,New Hampshire
1988,30,New Jersey
1988,21,New Mexico
1988,94,New York
1988,21,North Carolina
1988,230,North Dakota
1988,50,Ohio
1988,10,Oklahoma
1988,60,Oregon
1988,45,Pennsylvania
1988,1,Rhode Island
1988,14,South Carolina
1988,245,South Dakota
1988,35,Tennessee
1988,114,Texas
1988,36,Utah
1988,7,Vermont
1988,24,Virginia
1988,65,Washington
1988,30,West Virginia
1988,82,Wisconsin
1988,39,Wyoming
1989,41,Alabama
1989,71,Arizona
1989,34,Arkansas
1989,535,California
1989,50,Colorado
1989,2,Connecticut
1989,1,Delaware
1989,235,Florida
1989,116,Georgia
1989,9,Hawaii
1989,105,Idaho
1989,29,Illinois
1989,28,Indiana
1989,61,Iowa
1989,35,Kansas
1989,12,Kentucky
1989,35,Louisiana
1989,17,Maine
1989,9,Maryland
1989,8,Massachusetts
1989,93,Michigan
1989,155,Minnesota
1989,24,Mississippi
1989,33,Missouri
1989,100,Montana
1989,119,Nebraska
1989,15,Nevada
1989,1,New Hampshire
1989,25,New Jersey
1989,22,New Mexico
1989,94,New York
1989,25,North Carolina
1989,290,North Dakota
1989,53,Ohio
1989,9,Oklahoma
1989,63,Oregon
1989,41,Pennsylvania
1989,1,Rhode Island
1989,15,South Carolina
1989,230,South Dakota
1989,25,Tennessee
1989,134,Texas
1989,43,Utah
1989,6,Vermont
1989,23,Virginia
1989,66,Washington
1989,32,West Virginia
1989,101,Wisconsin
1989,40,Wyoming
1990,29,Alabama
1990,0.45,Alaska
1990,67,Arizona
1990,31,Arkansas
1990,480,California
1990,55,Colorado
1990,2,Connecticut
1990,1,Delaware
1990,220,Florida
1990,111,Georgia
1990,10,Hawaii
1990,140,Idaho
1990,19,Illinois
1990,22,Indiana
1990,70,Iowa
1990,36,Kansas
1990,8,Kentucky
1990,38,Louisiana
1990,18,Maine
1990,7,Maryland
1990,15,Massachusetts
1990,100,Michigan
1990,170,Minnesota
1990,24,Mississippi
1990,30,Missouri
1990,95,Montana
1990,118,Nebraska
1990,17,Nevada
1990,1,New Hampshire
1990,15,New Jersey
1990,29,New Mexico
1990,81,New York
1990,20,North Carolina
1990,210,North Dakota
1990,40,Ohio
1990,9,Oklahoma
1990,61,Oregon
1990,41,Pennsylvania
1990,1,Rhode Island
1990,12,South Carolina
1990,245,South Dakota
1990,19,Tennessee
1990,140,Texas
1990,47,Utah
1990,6,Vermont
1990,16,Virginia
1990,80,Washington
1990,30,West Virginia
1990,112,Wisconsin
1990,40,Wyoming
1991,20,Alabama
1991,75,Arizona
1991,47,Arkansas
1991,520,California
1991,50,Colorado
1991,225,Florida
1991,102,Georgia
1991,10,Hawaii
1991,140,Idaho
1991,21,Illinois
1991,21,Indiana
1991,92,Iowa
1991,35,Kansas
1991,7,Kentucky
1991,40,Louisiana
1991,13,Maine
1991,7,Maryland
1991,105,Michigan
1991,180,Minnesota
1991,28,Mississippi
1991,28,Missouri
1991,86,Montana
1991,108,Nebraska
1991,15,Nevada
1991,11,New Jersey
1991,20,New Mexico
1991,77,New York
1991,18,North Carolina
1991,215,North Dakota
1991,48,Ohio
1991,9,Oklahoma
1991,56,Oregon
1991,40,Pennsylvania
1991,11,South Carolina
1991,225,South Dakota
1991,14,Tennessee
1991,140,Texas
1991,45,Utah
1991,6,Vermont
1991,16,Virginia
1991,85,Washington
1991,26,West Virginia
1991,110,Wisconsin
1991,41,Wyoming
1992,25,Alabama
1992,79,Arizona
1992,45,Arkansas
1992,479,California
1992,52,Colorado
1992,220,Florida
1992,85,Georgia
1992,9,Hawaii
1992,135,Idaho
1992,16,Illinois
1992,15,Indiana
1992,56,Iowa
1992,28,Kansas
1992,4,Kentucky
1992,45,Louisiana
1992,15,Maine
1992,6,Maryland
1992,95,Michigan
1992,190,Minnesota
1992,25,Mississippi
1992,25,Missouri
1992,87,Montana
1992,96,Nebraska
1992,15,Nevada
1992,8,New Jersey
1992,18,New Mexico
1992,70,New York
1992,15,North Carolina
1992,240,North Dakota
1992,43,Ohio
1992,9,Oklahoma
1992,52,Oregon
1992,30,Pennsylvania
1992,11,South Carolina
1992,240,South Dakota
1992,7,Tennessee
1992,125,Texas
1992,47,Utah
1992,6,Vermont
1992,13,Virginia
1992,80,Washington
1992,23,West Virginia
1992,105,Wisconsin
1992,41,Wyoming
1993,19,Alabama
1993,55,Arizona
1993,50,Arkansas
1993,500,California
1993,53,Colorado
1993,200,Florida
1993,80,Georgia
1993,9,Hawaii
1993,133,Idaho
1993,15,Illinois
1993,12,Indiana
1993,60,Iowa
1993,23,Kansas
1993,4,Kentucky
1993,47,Louisiana
1993,15,Maine
1993,7,Maryland
1993,90,Michigan
1993,180,Minnesota
1993,17,Mississippi
1993,24,Missouri
1993,87,Montana
1993,83,Nebraska
1993,14,Nevada
1993,9,New Jersey
1993,18,New Mexico
1993,65,New York
1993,15,North Carolina
1993,220,North Dakota
1993,35,Ohio
1993,6,Oklahoma
1993,53,Oregon
1993,28,Pennsylvania
1993,11,South Carolina
1993,240,South Dakota
1993,8,Tennessee
1993,105,Texas
1993,42,Utah
1993,6,Vermont
1993,10,Virginia
1993,60,Washington
1993,20,West Virginia
1993,100,Wisconsin
1993,34,Wyoming
1994,18,Alabama
1994,47,Alaska
1994,50,Arizona
1994,400,California
1994,45,Colorado
1994,230,Florida
1994,80,Georgia
1994,11,Hawaii
1994,127,Idaho
1994,13,Illinois
1994,13,Indiana
1994,55,Iowa
1994,19,Kansas
1994,3,Kentucky
1994,35,Louisiana
1994,8,Maine
1994,7,Maryland
1994,90,Michigan
1994,170,Minnesota
1994,19,Mississippi
1994,25,Missouri
1994,119,Montana
1994,72,Nebraska
1994,14,Nevada
1994,9,New Jersey
1994,19,New Mexico
1994,68,New York
1994,15,North Carolina
1994,235,North Dakota
1994,27,Ohio
1994,5,Oklahoma
1994,50,Oregon
1994,27,Pennsylvania
1994,10,South Carolina
1994,260,South Dakota
1994,6,Tennessee
1994,103,Texas
1994,43,Utah
1994,5,Vermont
1994,11,Virginia
1994,60,Washington
1994,20,West Virginia
1994,75,Wisconsin
1994,46,Wyoming
1995,19,Alabama
1995,55,Arizona
1995,50,Arkansas
1995,500,California
1995,53,Colorado
1995,200,Florida
1995,80,Georgia
1995,9,Hawaii
1995,133,Idaho
1995,15,Illinois
1995,12,Indiana
1995,60,Iowa
1995,23,Kansas
1995,4,Kentucky
1995,47,Louisiana
1995,13,Maine
1995,7,Maryland
1995,90,Michigan
1995,180,Minnesota
1995,17,Mississippi
1995,24,Missouri
1995,95,Montana
1995,83,Nebraska
1995,14,Nevada
1995,9,New Hampshire
1995,18,New Mexico
1995,65,New York
1995,15,North Carolina
1995,220,North Dakota
1995,30,Ohio
1995,6,Oklahoma
1995,53,Oregon
1995,28,Pennsylvania
1995,11,South Carolina
1995,245,South Dakota
1995,8,Tennessee
1995,105,Texas
1995,42,Utah
1995,6,Vermont
1995,10,Virginia
1995,60,Washington
1995,20,West Virginia
1995,100,Wisconsin
1995,34,Wyoming
1996,18,Alabama
1996,47,Alaska
1996,50,Arizona
1996,400,California
1996,45,Colorado
1996,230,Florida
1996,80,Georgia
1996,11,Hawaii
1996,127,Idaho
1996,13,Illinois
1996,13,Indiana
1996,55,Iowa
1996,19,Kansas
1996,3,Kentucky
1996,35,Louisiana
1996,8,Maine
1996,7,Maryland
1996,90,Michigan
1996,170,Minnesota
1996,19,Mississippi
1996,25,Missouri
1996,119,Montana
1996,72,Nebraska
1996,14,Nevada
1996,9,New Jersey
1996,19,New Mexico
1996,68,New York
1996,15,North Carolina
1996,235,North Dakota
1996,27,Ohio
1996,5,Oklahoma
1996,50,Oregon
1996,27,Pennsylvania
1996,10,South Carolina
1996,260,South Dakota
1996,6,Tennessee
1996,103,Texas
1996,43,Utah
1996,5,Vermont
1996,11,Virginia
1996,60,Washington
1996,20,West Virginia
1996,75,Wisconsin
1996,46,Wyoming
1997,18,Alabama
1997,47,Alaska
1997,50,Arizona
1997,400,California
1997,45,Colorado
1997,230,Florida
1997,80,Georgia
1997,11,Hawaii
1997,127,Idaho
1997,13,Illinois
1997,13,Indiana
1997,55,Iowa
1997,19,Kansas
1997,3,Kentucky
1997,35,Louisiana
1997,8,Maine
1997,7,Maryland
1997,90,Michigan
1997,170,Minnesota
1997,19,Mississippi
1997,25,Missouri
1997,119,Montana
1997,72,Nebraska
1997,14,Nevada
1997,9,New Jersey
1997,19,New Mexico
1997,68,New York
1997,15,North Carolina
1997,235,North Dakota
1997,27,Ohio
1997,5,Oklahoma
1997,50,Oregon
1997,27,Pennsylvania
1997,10,South Carolina
1997,260,South Dakota
1997,6,Tennessee
1997,103,Texas
1997,43,Utah
1997,5,Vermont
1997,11,Virginia
1997,60,Washington
1997,20,West Virginia
1997,75,Wisconsin
1997,46,Wyoming
1998,15,Alabama
1998,32,Alaska
1998,40,Arizona
1998,390,California
1998,30,Colorado
1998,240,Florida
1998,75,Georgia
1998,8,Hawaii
1998,110,Idaho
1998,11,Illinois
1998,9,Indiana
1998,58,Iowa
1998,16,Kansas
1998,3,Kentucky
1998,37,Louisiana
1998,9,Maine
1998,7,Maryland
1998,90,Michigan
1998,150,Minnesota
1998,17,Mississippi
1998,22,Missouri
1998,117,Montana
1998,65,Nebraska
1998,14,Nevada
1998,5,New Jersey
1998,15,New Mexico
1998,68,New York
1998,12,North Carolina
1998,230,North Dakota
1998,24,Ohio
1998,4,Oklahoma
1998,55,Oregon
1998,23,Pennsylvania
1998,9,South Carolina
1998,240,South Dakota
1998,5,Tennessee
1998,82,Texas
1998,34,Utah
1998,4,Vermont
1998,7,Virginia
1998,57,Washington
1998,10,West Virginia
1998,69,Wisconsin
1998,40,Wyoming
1999,14,Alabama
1999,42,Arizona
1999,50,Arkansas
1999,420,California
1999,35,Colorado
1999,240,Florida
1999,75,Georgia
1999,9,Hawaii
1999,120,Idaho
1999,7,Illinois
1999,8,Indiana
1999,45,Iowa
1999,17,Kansas
1999,3,Kentucky
1999,44,Louisiana
1999,8,Maine
1999,6,Maryland
1999,85,Michigan
1999,145,Minnesota
1999,19,Mississippi
1999,24,Missouri
1999,107,Montana
1999,61,Nebraska
1999,14,Nevada
1999,10,New Jersey
1999,15,New Mexico
1999,72,New York
1999,8,North Carolina
1999,245,North Dakota
1999,22,Ohio
1999,4,Oklahoma
1999,50,Oregon
1999,22,Pennsylvania
1999,240,South Dakota
1999,7,Tennessee
1999,94,Texas
1999,32,Utah
1999,5,Vermont
1999,8,Virginia
1999,60,Washington
1999,8,West Virginia
1999,79,Wisconsin
1999,38,Wyoming
2000,16,Alabama
2000,55,Arizona
2000,53,Arkansas
2000,450,California
2000,27,Colorado
2000,230,Florida
2000,75,Georgia
2000,8,Hawaii
2000,120,Idaho
2000,9,Illinois
2000,9,Indiana
2000,50,Iowa
2000,16,Kansas
2000,3,Kentucky
2000,41,Louisiana
2000,10,Maine
2000,7,Maryland
2000,80,Michigan
2000,140,Minnesota
2000,18,Mississippi
2000,23,Missouri
2000,115,Montana
2000,64,Nebraska
2000,10,Nevada
2000,11,New Jersey
2000,14,New Mexico
2000,65,New York
2000,8,North Carolina
2000,230,North Dakota
2000,18,Ohio
2000,4,Oklahoma
2000,50,Oregon
2000,23,Pennsylvania
2000,225,South Dakota
2000,7,Tennessee
2000,91,Texas
2000,30,Utah
2000,6,Vermont
2000,8,Virginia
2000,58,Washington
2000,6,West Virginia
2000,89,Wisconsin
2000,46,Wyoming
2001,17,Alabama
2001,52,Arizona
2001,52,Arkansas
2001,505,California
2001,27,Colorado
2001,228,Florida
2001,65,Georgia
2001,8,Hawaii
2001,120,Idaho
2001,9,Illinois
2001,10,Indiana
2001,40,Iowa
2001,13,Kansas
2001,3,Kentucky
2001,48,Louisiana
2001,14,Maine
2001,6,Maryland
2001,73,Michigan
2001,145,Minnesota
2001,18,Mississippi
2001,24,Missouri
2001,122,Montana
2001,58,Nebraska
2001,9,Nevada
2001,10,New Jersey
2001,15,New Mexico
2001,69,New York
2001,9,North Carolina
2001,255,North Dakota
2001,20,Ohio
2001,6,Oklahoma
2001,45,Oregon
2001,25,Pennsylvania
2001,224,South Dakota
2001,8,Tennessee
2001,108,Texas
2001,26,Utah
2001,6,Vermont
2001,7,Virginia
2001,52,Washington
2001,6,West Virginia
2001,80,Wisconsin
2001,37,Wyoming
2002,16,Alabama
2002,40,Arizona
2002,55,Arkansas
2002,440,California
2002,29,Colorado
2002,232,Florida
2002,55,Georgia
2002,7,Hawaii
2002,100,Idaho
2002,8,Illinois
2002,8,Indiana
2002,30,Iowa
2002,15,Kansas
2002,3,Kentucky
2002,43,Louisiana
2002,11,Maine
2002,6,Maryland
2002,72,Michigan
2002,150,Minnesota
2002,17,Mississippi
2002,23,Missouri
2002,124,Montana
2002,50,Nebraska
2002,10,Nevada
2002,11,New Jersey
2002,15,New Mexico
2002,58,New York
2002,11,North Carolina
2002,300,North Dakota
2002,18,Ohio
2002,7,Oklahoma
2002,48,Oregon
2002,22,Pennsylvania
2002,235,South Dakota
2002,9,Tennessee
2002,105,Texas
2002,24,Utah
2002,7,Vermont
2002,7,Virginia
2002,52,Washington
2002,7,West Virginia
2002,84,Wisconsin
2002,39,Wyoming
2003,14,Alabama
2003,43,Arizona
2003,58,Arkansas
2003,425,California
2003,26,Colorado
2003,220,Florida
2003,55,Georgia
2003,8,Hawaii
2003,100,Idaho
2003,6,Illinois
2003,7,Indiana
2003,33,Iowa
2003,13,Kansas
2003,3,Kentucky
2003,45,Louisiana
2003,11,Maine
2003,4,Maryland
2003,76,Massachusetts
2003,135,Minnesota
2003,17,Mississippi
2003,25,Missouri
2003,136,Montana
2003,43,Nebraska
2003,9,Nevada
2003,11,New Jersey
2003,10,New Mexico
2003,53,New York
2003,13,North Carolina
2003,280,North Dakota
2003,16,Ohio
2003,4,Oklahoma
2003,44,Oregon
2003,17,Pennsylvania
2003,7,South Carolina
2003,235,South Dakota
2003,8,Tennessee
2003,97,Texas
2003,23,Utah
2003,7,Vermont
2003,9,Virginia
2003,42,Washington
2003,7,West Virginia
2003,67,Wisconsin
2003,38,Wyoming
2004,12,Alabama
2004,38,Arizona
2004,45,Arkansas
2004,470,California
2004,24,Colorado
2004,220,Florida
2004,50,Georgia
2004,7,Hawaii
2004,100,Idaho
2004,9,Illinois
2004,8,Indiana
2004,33,Iowa
2004,17,Kansas
2004,5,Kentucky
2004,35,Louisiana
2004,11,Maine
2004,3,Maryland
2004,72,Massachusetts
2004,117,Minnesota
2004,18,Mississippi
2004,18,Missouri
2004,134,Montana
2004,43,Nebraska
2004,9,Nevada
2004,11,New Jersey
2004,11,New Mexico
2004,60,New York
2004,16,North Carolina
2004,320,North Dakota
2004,18,Ohio
2004,3,Oklahoma
2004,43,Oregon
2004,29,Pennsylvania
2004,5,South Carolina
2004,225,South Dakota
2004,8,Tennessee
2004,114,Texas
2004,22,Utah
2004,7,Vermont
2004,8,Virginia
2004,50,Washington
2004,9,West Virginia
2004,70,Wisconsin
2004,38,Wyoming
2005,13,Alabama
2005,35,Arizona
2005,40,Arkansas
2005,480,California
2005,24,Colorado
2005,210,Florida
2005,52,Georgia
2005,7,Hawaii
2005,100,Idaho
2005,7,Illinois
2005,5,Indiana
2005,32,Iowa
2005,16,Kansas
2005,5,Kentucky
2005,34,Louisiana
2005,8,Maine
2005,2,Maryland
2005,65,Massachusetts
2005,120,Minnesota
2005,21,Mississippi
2005,17,Missouri
2005,145,Montana
2005,45,Nebraska
2005,6,Nevada
2005,10,New Jersey
2005,6,New Mexico
2005,67,New York
2005,10,North Carolina
2005,340,North Dakota
2005,15,Ohio
2005,3,Oklahoma
2005,42,Oregon
2005,27,Pennsylvania
2005,4,South Carolina
2005,215,South Dakota
2005,6,Tennessee
2005,140,Texas
2005,25,Utah
2005,7,Vermont
2005,6,Virginia
2005,58,Washington
2005,8,West Virginia
2005,74,Wisconsin
2005,39,Wyoming
2006,12,Alabama
2006,32,Arizona
2006,40,Arkansas
2006,390,California
2006,23,Colorado
2006,205,Florida
2006,63,Georgia
2006,8,Hawaii
2006,100,Idaho
2006,7,Illinois
2006,7,Indiana
2006,35,Iowa
2006,14,Kansas
2006,5,Kentucky
2006,35,Louisiana
2006,7,Maine
2006,65,Michigan
2006,135,Minnesota
2006,18,Mississippi
2006,16,Missouri
2006,140,Montana
2006,51,Nebraska
2006,14,Nevada
2006,12,New Jersey
2006,8,New Mexico
2006,64,New York
2006,9,North Carolina
2006,390,North Dakota
2006,16,Ohio
2006,42,Oregon
2006,30,Pennsylvania
2006,215,South Dakota
2006,6,Tennessee
2006,116,Texas
2006,23,Utah
2006,6,Vermont
2006,7,Virginia
2006,56,Washington
2006,9,West Virginia
2006,68,Wisconsin
2006,39,Wyoming
2007,13,Alabama
2007,36,Arizona
2007,36,Arkansas
2007,400,California
2007,28,Colorado
2007,160,Florida
2007,59,Georgia
2007,9,Hawaii
2007,95,Idaho
2007,8,Illinois
2007,8,Indiana
2007,28,Iowa
