Alabama,cucumbers,peaches,nectarines
Alaska,
Arizona,alfalfa hay,cantaloupe,watermelon,cauliflower,broccoli,cabbage
Arkansas,alfalfa hay
California,alfalfa hay,broccoli,carrots,garlic,cauliflower,celery,cabbage,cantaloupe,watermelon,honeydew,artichoke,cucumbers,squash,pumpkin,asparagus,sunflower,almonds,tangerine,prunes,pears,cherries,apples,peaches
Colorado,alfalfa hay,sunflower,peaches
Connecticut,alfalfa hay,apples
Delaware,watermelon,alfalfa hay,cucumbers
Florida,cucumbers,watermelon,cantaloupe,cabbage,tangerine,squash,tangelo
Georgia,watermelon,cantaloupe,cucumbers,cabbage,squash,peaches
Hawaii,
Idaho,alfalfa hay,apples,peaches
Illinois,alfalfa hay,pumpkin,peaches,apples
Indiana,alfalfa hay,watermelon,cantaloupe,pumpkin
Iowa,alfalfa hay
Kansas,alfalfa hay
Kentucky,alfalfa hay
Louisiana,
Maine,alfalfa hay,apples
Maryland,alfalfa hay,watemelon,peaches,apples
Massachusetts,alfalfa hay,cranberries,apples
Michigan,alfalfa hay,cucumbers,squash,asparagus,cabbage,carrots,celery,pumpkin,cherries,peaches,apples
Minnesota,alfalfa hay,sunflower,pumpkin,apples
Mississippi,
Missouri,alfalfa hay,watermelon,peaches
Montana,alfalfa hay,
Nebraska,alfalfa hay,sunflower
Nevada,alfalfa hay
New Hampshire,alfalfa hay
New Jersey,alfalfa hay,cucumbers,squash,asparagus,pumpkin,peaches,apples,cranberries
New Mexico,alfalfa hay
New York,alfalfa hay,cabbage,squash,pumpkin,apples,peaches,cherries
North Carolina,alfalfa hay,cucumbers,cantaloupe,pumpkin,cabbage,squash,peaches,apples
North Dakota,alfalfa hay,sunflower,
Ohio,alfalfa hay,cucumbers,pumpkin,apples,peaches
Oklahoma,alfalfa hay
Oregon,alfalfa hay,squash,pumpkin,cherries,apples,cranberries,pears
Pennsylvania,alfalfa hay,pumpkin,cantaloupe,peaches,apples
Rhode Island,alfalfa hay
South Carolina,watermelon,cantaloupe,cucumbers,peaches
South Dakota,alfalfa hay,sunflower
Tennessee,alfalfa hay,pumpkin
Texas,alfalfa hay,watermelon,cantaloupe,cabbage,pumpkin,cucumbers,sunflower,squash,carrots,peaches
Utah,alfalfa hay,cherries,peaches
Vermont,alfalfa hay,apples
Virginia,alfalfa hay,pumpkin,apples,peaches
Washington,alfalfa hay,carrots,asparagus,pumpkin,pears,cranberries,cherries,apples,peaches
West Virginia,alfalfa hay,peaches,apples
Wisconsin,alfalfa hay,cucumbers,carrots,pumpkin,cranberries,cherries,apples
Wyoming,alfalfa hay
